+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|   0 | minecraft:ocean                            | Ocean                                                      |  0.50 | OCEAN    | 0.50 | false | true    | COOL       | OCEAN, WATER                                                      |                     |
|   1 | minecraft:plains                           | Plains                                                     |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | PLAINS                                                            | stronghold, village |
|   2 | minecraft:desert                           | Desert                                                     |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                                   | stronghold, village |
|   3 | minecraft:extreme_hills                    | Extreme Hills                                              |  0.24 | MEDIUM   | 0.30 | false | false   |            | HILLS, MOUNTAIN                                                   | stronghold          |
|   4 | minecraft:forest                           | Forest                                                     |  0.70 | MEDIUM   | 0.80 | false | false   | COOL, WARM | FOREST                                                            | stronghold          |
|   5 | minecraft:taiga                            | Taiga                                                      |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                                          | stronghold, village |
|   6 | minecraft:swampland                        | Swampland                                                  |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP, WET                                                        | village             |
|   7 | minecraft:river                            | River                                                      |  0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                     |
|   8 | minecraft:hell                             | Hell                                                       |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold          |
|   9 | minecraft:sky                              | The End                                                    |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold          |
|  10 | minecraft:frozen_ocean                     | Ocean                                                      |  0.50 | OCEAN    | 0.50 |  true | true    |            | COLD, OCEAN, SNOWY, WATER                                         |                     |
|  11 | minecraft:frozen_river                     | FrozenRiver                                                |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                                         |                     |
|  12 | minecraft:ice_flats                        | Ice Plains                                                 |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, SNOWY, WASTELAND                                            | stronghold, village |
|  13 | minecraft:ice_mountains                    | Ice Mountains                                              |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | stronghold          |
|  14 | minecraft:mushroom_island                  | MushroomIsland                                             |  0.90 | MEDIUM   | 1.00 | false | false   | WARM       | MUSHROOM, RARE                                                    | stronghold          |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore                                        |  0.90 | MEDIUM   | 1.00 | false | false   | WARM       | BEACH, MUSHROOM, RARE                                             |                     |
|  16 | minecraft:beaches                          | Beach                                                      |  0.80 | MEDIUM   | 0.40 | false | false   | WARM       | BEACH                                                             |                     |
|  17 | minecraft:desert_hills                     | DesertHills                                                |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, SANDY                                            | stronghold          |
|  18 | minecraft:forest_hills                     | ForestHills                                                |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, HILLS                                                     | stronghold          |
|  19 | minecraft:taiga_hills                      | TaigaHills                                                 |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST, HILLS                                   | stronghold          |
